ds,yhat_lower,yhat_upper
2021-05-29 12:00:00,30702.50611129529,34425.25672672999
2021-05-30 00:00:00,30545.6359357411,34268.3865511758
2021-05-30 12:00:00,30391.63140299041,34114.38201842511
2021-05-31 00:00:00,30240.53029955372,33963.28091498842
2021-05-31 12:00:00,30092.368646338567,33815.11926177327
2021-06-01 00:00:00,29947.18069532604,33669.93131076074
2021-06-01 12:00:00,29804.99893166041,33527.74954709511
2021-06-02 00:00:00,29665.85407023249,33388.60468566719
2021-06-02 12:00:00,29529.775058702515,33252.525674137214
2021-06-03 00:00:00,29396.789078660346,33119.539694095045
2021-06-03 12:00:00,29266.921549887848,32989.67216532255
2021-06-04 00:00:00,29140.19613240934,32862.946747844035
2021-06-04 12:00:00,29016.634734683656,32739.385350118355
2021-06-05 00:00:00,28896.25751852925,32619.00813396395
2021-06-05 12:00:00,28779.082904808805,32501.833520243505
2021-06-06 00:00:00,28665.127584640744,32387.878200075444
2021-06-06 12:00:00,28554.406526825245,32277.157142259945
2021-06-07 00:00:00,28446.93298972115,32169.68360515585
2021-06-07 12:00:00,28342.71853043233,32065.469145867028
2021-06-08 00:00:00,28241.773019390457,31964.523634825156
2021-06-08 12:00:00,28144.104650641086,31866.855266075785
2021-06-09 00:00:00,28049.719959641105,31772.470575075804
2021-06-09 12:00:00,27958.623835104278,31681.374450538977
2021-06-10 00:00:00,27870.819535579198,31593.570151013897
2021-06-10 12:00:00,27786.308707756514,31509.059323191213
2021-06-11 00:00:00,27705.09140049664,31427.84201593134
2021-06-11 12:00:00,27627.166088987822,31349.91670442252
2021-06-12 00:00:00,27552.529685996262,31275.28030143096
2021-06-12 12:00:00,27481.177570681117,31203.928186115816
2021-06-13 00:00:00,27413.103602340638,31135.854217775337
2021-06-13 12:00:00,27348.300143694498,31071.050759129197
2021-06-14 00:00:00,27286.758085753925,31009.508701188624
2021-06-14 12:00:00,27228.46686811973,30951.21748355443
2021-06-15 00:00:00,27173.414502621778,30896.165118056477
2021-06-15 12:00:00,27121.587597640544,30844.338213075243
2021-06-16 00:00:00,27072.97138664398,30795.72200207868
2021-06-16 12:00:00,27027.54974570706,30750.30036114176
2021-06-17 00:00:00,26985.305229897473,30708.055845332172
2021-06-17 12:00:00,26946.21908859651,30668.96970403121
2021-06-18 00:00:00,26910.27130325851,30633.021918693208
2021-06-18 12:00:00,26877.4406078889,30600.1912233236
2021-06-19 00:00:00,26847.704522236127,30570.455137670826
2021-06-19 12:00:00,26821.039376184475,30543.789991619175
2021-06-20 00:00:00,26797.42034177125,30520.170957205948
2021-06-20 12:00:00,26776.82146222127,30499.57207765597
2021-06-21 00:00:00,26759.215682422433,30481.966297857132
2021-06-21 12:00:00,26744.57487832624,30467.325493760938
2021-06-22 00:00:00,26732.869887862907,30455.620503297607
2021-06-22 12:00:00,26724.070543046393,30446.821158481092
2021-06-23 00:00:00,26718.145703638358,30440.896319073057
2021-06-23 12:00:00,26715.063280938335,30437.813896373034
2021-06-24 00:00:00,26714.790280887457,30437.540896322156
2021-06-24 12:00:00,26717.292828126396,30440.043443561095
2021-06-25 00:00:00,26722.536201391616,30445.286816826316
2021-06-25 12:00:00,26730.484867666855,30453.235483101555
2021-06-26 00:00:00,26741.102512484504,30463.853127919203
2021-06-26 12:00:00,26754.352074287286,30477.102689721985
2021-06-27 00:00:00,26770.19578063217,30492.94639606687
2021-06-27 12:00:00,26788.5951755302,30511.3457909649
2021-06-28 00:00:00,26809.51115802266,30532.261773457358
2021-06-28 12:00:00,26832.904012637446,30555.654628072145
2021-06-29 00:00:00,26858.733448021754,30581.484063456453
2021-06-29 12:00:00,26886.958622765524,30609.709238200223
2021-06-30 00:00:00,26917.538186082103,30640.288801516803
2021-06-30 12:00:00,26950.430306174065,30673.180921608764
2021-07-01 00:00:00,26985.5927122056,30708.343327640298
2021-07-01 12:00:00,27022.982715154147,30745.733330588846
2021-07-02 00:00:00,27062.55725267726,30785.30786811196
2021-07-02 12:00:00,27104.272916397094,30827.023531831794
2021-07-03 00:00:00,27148.08598835807,30870.83660379277
2021-07-03 12:00:00,27193.95247219586,30916.703087630558
